python3 MicroGan.py 
Loading parameters MicroGanV2
WARNING:root:Setting up a new session...
Starting Training Loop...
Save model iters 0
[27/1000][4/5]	Loss_D: 0.0021	Loss_G: 10.2253	D(x): 0.9988	D(G(z)): 0.0009 / 0.0001
[28/1000][1/5]	Loss_D: 0.0032	Loss_G: 10.8721	D(x): 0.9988	D(G(z)): 0.0021 / 0.0001
[28/1000][2/5]	Loss_D: 0.0019	Loss_G: 10.9358	D(x): 0.9988	D(G(z)): 0.0007 / 0.0001
[28/1000][3/5]	Loss_D: 0.0013	Loss_G: 10.1669	D(x): 0.9992	D(G(z)): 0.0005 / 0.0001
[28/1000][4/5]	Loss_D: 0.0017	Loss_G: 9.8342	D(x): 0.9993	D(G(z)): 0.0010 / 0.0001
[29/1000][1/5]	Loss_D: 0.0017	Loss_G: 10.2990	D(x): 0.9988	D(G(z)): 0.0006 / 0.0001
[29/1000][2/5]	Loss_D: 0.0022	Loss_G: 10.0004	D(x): 0.9988	D(G(z)): 0.0010 / 0.0001
[29/1000][3/5]	Loss_D: 0.0026	Loss_G: 10.2718	D(x): 0.9988	D(G(z)): 0.0015 / 0.0001
[29/1000][4/5]	Loss_D: 0.0030	Loss_G: 10.3681	D(x): 0.9983	D(G(z)): 0.0012 / 0.0001
[30/1000][1/5]	Loss_D: 0.0021	Loss_G: 10.3685	D(x): 0.9993	D(G(z)): 0.0014 / 0.0001
[30/1000][2/5]	Loss_D: 0.0019	Loss_G: 10.4375	D(x): 0.9990	D(G(z)): 0.0009 / 0.0001
[30/1000][3/5]	Loss_D: 0.0021	Loss_G: 9.8188	D(x): 0.9986	D(G(z)): 0.0007 / 0.0001
[30/1000][4/5]	Loss_D: 0.0020	Loss_G: 9.8555	D(x): 0.9992	D(G(z)): 0.0012 / 0.0001
[31/1000][1/5]	Loss_D: 0.0018	Loss_G: 10.2436	D(x): 0.9989	D(G(z)): 0.0007 / 0.0001
[31/1000][2/5]	Loss_D: 0.0017	Loss_G: 9.7142	D(x): 0.9990	D(G(z)): 0.0007 / 0.0001
[31/1000][3/5]	Loss_D: 0.0023	Loss_G: 9.9901	D(x): 0.9990	D(G(z)): 0.0013 / 0.0001
[31/1000][4/5]	Loss_D: 0.0020	Loss_G: 9.9285	D(x): 0.9989	D(G(z)): 0.0009 / 0.0001
[32/1000][1/5]	Loss_D: 0.0027	Loss_G: 9.9402	D(x): 0.9983	D(G(z)): 0.0010 / 0.0001
[32/1000][2/5]	Loss_D: 0.0018	Loss_G: 10.0182	D(x): 0.9992	D(G(z)): 0.0011 / 0.0001
[32/1000][3/5]	Loss_D: 0.0015	Loss_G: 10.1440	D(x): 0.9994	D(G(z)): 0.0009 / 0.0001
[32/1000][4/5]	Loss_D: 0.0023	Loss_G: 10.0165	D(x): 0.9986	D(G(z)): 0.0009 / 0.0001
[33/1000][1/5]	Loss_D: 0.0015	Loss_G: 10.4283	D(x): 0.9994	D(G(z)): 0.0009 / 0.0001
[33/1000][2/5]	Loss_D: 0.0017	Loss_G: 9.8987	D(x): 0.9989	D(G(z)): 0.0006 / 0.0001
[33/1000][3/5]	Loss_D: 0.0025	Loss_G: 9.9103	D(x): 0.9986	D(G(z)): 0.0011 / 0.0001
[33/1000][4/5]	Loss_D: 0.0026	Loss_G: 9.6089	D(x): 0.9983	D(G(z)): 0.0010 / 0.0001
[34/1000][1/5]	Loss_D: 0.0020	Loss_G: 10.0703	D(x): 0.9986	D(G(z)): 0.0007 / 0.0001
[34/1000][2/5]	Loss_D: 0.0017	Loss_G: 10.7157	D(x): 0.9994	D(G(z)): 0.0011 / 0.0001
[34/1000][3/5]	Loss_D: 0.0013	Loss_G: 10.3866	D(x): 0.9992	D(G(z)): 0.0005 / 0.0001
[34/1000][4/5]	Loss_D: 0.0015	Loss_G: 9.6929	D(x): 0.9990	D(G(z)): 0.0006 / 0.0001
[35/1000][1/5]	Loss_D: 0.0016	Loss_G: 10.0075	D(x): 0.9990	D(G(z)): 0.0007 / 0.0001
